y,maze_odour,maze_material
29.4041561879098,vanilla,wood
33.3206784994706,vanilla,wood
35.5048455109704,vanilla,wood
30.7188574037904,vanilla,wood
29.4112320091702,vanilla,wood
25.4396581652583,vanilla,wood
22.8120687958501,vanilla,wood
36.0145523746402,chocolate,plastic
46.2704155322499,chocolate,plastic
43.8607109290227,chocolate,plastic
38.9024218662328,chocolate,plastic
37.8759485831136,chocolate,plastic
37.9050995028902,chocolate,plastic
44.9849343045455,chocolate,plastic
38.6211098545599,chocolate,plastic
46.2800940865305,chocolate,plastic
43.2333719524767,chocolate,plastic
46.4965615128172,chocolate,plastic
35.6336894412778,chocolate,plastic
40.0418547999802,chocolate,plastic
35.5956413837373,chocolate,plastic
42.9812950830533,chocolate,plastic
40.5985882064477,chocolate,plastic
38.5891306133878,chocolate,plastic
47.2799420053317,chocolate,plastic
41.1450979534735,chocolate,plastic
44.9827196427206,chocolate,plastic
43.9092959230013,chocolate,plastic
36.116116891177,chocolate,plastic
36.9200504614604,chocolate,plastic
40.232901514025,chocolate,plastic
34.3480711119965,chocolate,plastic
42.8835939094824,chocolate,plastic
33.5962528410584,chocolate,plastic
48.1272365173247,chocolate,plastic
37.4965170199865,chocolate,plastic
48.3914860390815,chocolate,plastic
37.937400562588,chocolate,plastic
35.1385658224722,chocolate,plastic
40.126914337939,chocolate,plastic
40.137376683726,chocolate,plastic
31.5990863880203,chocolate,plastic
45.2687543151431,chocolate,plastic
34.4020044771391,chocolate,plastic
41.6780860498441,chocolate,plastic
42.4739788355658,chocolate,plastic
40.6902635435587,chocolate,plastic
19.4060398711059,vanilla,plastic
20.988421311729,vanilla,plastic
14.6565364437261,vanilla,plastic
15.9839339131763,vanilla,plastic
14.4311743184023,vanilla,plastic
27.9004584185192,vanilla,plastic
27.4890938051921,vanilla,plastic
21.3132272933138,vanilla,plastic
13.8354940021437,vanilla,plastic
19.9813823310391,vanilla,plastic
27.5583614140545,vanilla,plastic
17.6215085778523,vanilla,plastic
23.9895821876554,vanilla,plastic
15.1299871944374,vanilla,plastic
23.4468634888274,vanilla,plastic
15.220804483616,vanilla,plastic
13.8414647079295,vanilla,plastic
15.2155405933719,vanilla,plastic
15.6510856315675,vanilla,plastic
15.4465965875336,vanilla,plastic
23.706381526301,vanilla,plastic
20.3425576663857,vanilla,plastic
18.3812462270602,vanilla,plastic
14.5674847650315,vanilla,plastic
14.9203552657255,vanilla,plastic
16.1610490763457,vanilla,plastic
14.4013996943651,vanilla,plastic
17.759128816983,vanilla,plastic
22.3586818722662,vanilla,plastic
14.0975465855786,vanilla,plastic
27.3512849854149,vanilla,plastic
13.4428970418756,vanilla,plastic
19.5173753861851,vanilla,plastic
31.8485995397567,vanilla,plastic
24.4531323821871,vanilla,plastic
18.7390841930453,vanilla,plastic
15.6711812257787,vanilla,plastic
22.9129299994322,vanilla,plastic
19.9373532650214,vanilla,plastic
18.1257261894305,vanilla,plastic
41.5894286754624,chocolate,metal
37.5559718258169,chocolate,metal
53.2932901349923,chocolate,metal
48.4013910234478,chocolate,metal
43.8979200453793,chocolate,metal
43.5662026005641,chocolate,metal
37.2855903144403,chocolate,metal
44.4288918695047,chocolate,metal
38.2570265774462,chocolate,metal
34.9597271091523,chocolate,metal
49.415912711913,chocolate,metal
35.3551446039941,chocolate,metal
38.5290177319654,chocolate,metal
36.9252486460182,chocolate,metal
35.2646210412949,chocolate,metal
42.9948757490516,chocolate,metal
32.3819255881122,chocolate,metal
38.9690549894136,chocolate,metal
37.128522928493,chocolate,metal
33.0491698168246,chocolate,metal
39.6479130874642,chocolate,metal
37.8456023519796,chocolate,metal
37.0388731351921,chocolate,metal
44.9055807995331,chocolate,metal
42.6620467833525,chocolate,metal
39.547719378795,chocolate,metal
40.7824524584805,chocolate,metal
36.3134415458002,chocolate,metal
38.9932939706391,chocolate,metal
45.5108829753685,chocolate,metal
39.9162587192406,chocolate,metal
40.8089431677862,chocolate,metal
50.1238069503887,chocolate,metal
36.4815287305063,chocolate,metal
44.8039619197526,chocolate,metal
48.9524252676891,chocolate,metal
34.6791741833329,chocolate,metal
40.088182732123,chocolate,metal
38.0504568534708,chocolate,metal
37.5458362381672,chocolate,metal
34.7714117410663,vanilla,metal
35.5189436801971,vanilla,metal
46.3469358180352,vanilla,metal
42.9692047429875,vanilla,metal
43.8781715944175,vanilla,metal
47.7868518817249,vanilla,metal
38.1729910155806,vanilla,metal
44.0827822437406,vanilla,metal
39.6968261093972,vanilla,metal
37.4931084110246,vanilla,metal
44.6303136266651,vanilla,metal
40.1846884542108,vanilla,metal
34.6689991324349,vanilla,metal
38.8077182336047,vanilla,metal
47.4761172192161,vanilla,metal
45.8607927349474,vanilla,metal
32.7114639493881,vanilla,metal
40.4752811349432,vanilla,metal
44.2383248179801,vanilla,metal
31.8781773511971,vanilla,metal
47.0428167841698,vanilla,metal
37.2911981894944,vanilla,metal
41.3933236205318,vanilla,metal
39.0301362766485,vanilla,metal
47.8807909060937,vanilla,metal
32.6222618236974,vanilla,metal
39.2769589634473,vanilla,metal
34.6249490459091,vanilla,metal
42.0327136597246,vanilla,metal
51.1463110082046,vanilla,metal
32.4275149587483,vanilla,metal
39.6914628899398,vanilla,metal
39.2636460498052,vanilla,metal
47.7079653441348,vanilla,metal
35.0907216559807,vanilla,metal
42.4828908633085,vanilla,metal
48.4847394036154,vanilla,metal
38.6963184571594,vanilla,metal
36.4703570716617,vanilla,metal
39.1941074691383,vanilla,metal
